"AB_ZEIT";"AN_ZEIT";"AB_HST_NAME";"AN_HST_NAME";"TRANSPORTMITTEL";"LINIE"
"11:36 (41760)";"11:38 (41880)";"Dresden Liststraﬂe";"Dresden Zeithainer Straﬂe";"TRAM";"3"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"12:04 (43440)";"12:06 (43560)";"Dresden Bf Neustadt (Hansastr)";"Dresden Bahnhof Neustadt";"TRAM";"3"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"12:11 (43860)";"12:12 (43920)";"Dresden Bahnhof Neustadt";"Dresden Anton-/Leipziger Str.";"TRAM";"11"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"12:15 (44100)";"12:17 (44220)";"Dresden Am Zwingerteich";"Dresden Postplatz";"TRAM";"11"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"12:22 (44520)";"12:24 (44640)";"Dresden Postplatz";"Dresden Alfred-Althus-Straﬂe";"TRAM";"12"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"13:28 (48480)";"13:29 (48540)";"Dresden Bahnhof Mitte";"Dresden Bahnhof Mitte";"TRAM";"6"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"13:35 (48900)";"13:37 (49020)";"Dresden Bahnhof Mitte";"Dresden Weiﬂeritzstraﬂe";"TRAM";"10"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"14:05 (50700)";"14:07 (50820)";"Dresden Gret-Palucca-Straﬂe";"Dresden LennÈplatz";"TRAM";"10"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"14:12 (51120)";"14:13 (51180)";"Dresden LennÈplatz";"Dresden LennÈplatz";"TRAM";"9"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"14:39 (52740)";"14:40 (52800)";"Dresden Hauptbahnhof Nord";"Dresden Walpurgisstraﬂe";"TRAM";"11"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"14:45 (53100)";"14:48 (53280)";"Dresden Walpurgisstraﬂe";"Dresden Pirnaischer Platz";"TRAM";"3"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"14:45 (53100)";"14:48 (53280)";"Dresden Walpurgisstraﬂe";"Dresden Pirnaischer Platz";"TRAM";"3"
"Next";"Trip";"";"";"Waiting:";"0:10 (600)"
"14:58 (53880)";"15:00 (54000)";"Dresden Pirnaischer Platz";"Dresden Prager Straﬂe";"TRAM";"12"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"15:37 (56220)";"15:38 (56280)";"Dresden Schlehenstraﬂe";"Dresden Betriebshof Gorbitz";"TRAM";"2"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"15:44 (56640)";"15:46 (56760)";"Dresden Betriebshof Gorbitz";"Dresden Altnossener Straﬂe";"TRAM";"7"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"16:24 (59040)";"16:26 (59160)";"Dresden Reichenbachstraﬂe";"Dresden N¸rnberger Platz";"TRAM";"8"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"16:32 (59520)";"16:33 (59580)";"Dresden N¸rnberger Platz";"Dresden M¸nchner Platz";"TRAM";"3"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"17:01 (61260)";"17:03 (61380)";"Dresden Carolaplatz";"Dresden Albertplatz";"TRAM";"3"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"17:08 (61680)";"17:09 (61740)";"Dresden Albertplatz";"DD Bautzner/Rothenburger Str.";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"17:08 (61680)";"17:09 (61740)";"Dresden Albertplatz";"DD Bautzner/Rothenburger Str.";"TRAM";"6"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"17:15 (62100)";"17:17 (62220)";"DD Bautzner/Rothenburger Str.";"Dresden Pulsnitzer Straﬂe";"TRAM";"11"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:20 (66000)";"18:21 (66060)";"Dresden Gustav-Freytag-Straﬂe";"Dresden Ludwig-Hartmann-Straﬂe";"TRAM";"6"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"18:26 (66360)";"18:27 (66420)";"Dresden Ludwig-Hartmann-Straﬂe";"Dresden Ludwig-Hartmann-Straﬂe";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:34 (66840)";"18:35 (66900)";"Dresden Tolkewitz Urnenhain";"Dresden Wasserwerk Tolkewitz";"TRAM";"6"
"Next";"Trip";"";"";"Waiting:";"0:09 (540)"
"18:44 (67440)";"18:45 (67500)";"Dresden Wasserwerk Tolkewitz";"Dresden Johannisfriedhof";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"18:56 (68160)";"18:58 (68280)";"Dresden Mosenstraﬂe";"Dresden Fetscherplatz";"TRAM";"10"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"19:04 (68640)";"19:06 (68760)";"Dresden Fetscherplatz";"Dresden Gabelsbergerstraﬂe";"TRAM";"12"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"21:24 (77040)";"21:25 (77100)";"Radebeul Schloss Wackerbarth";"Radebeul West (Flemmingstraﬂe)";"TRAM";"4"
"Next";"Trip";"";"";"Waiting:";"0:14 (840)"
"21:39 (77940)";"21:40 (78000)";"Radebeul West (Flemmingstraﬂe)";"Radebeul West (Flemmingstraﬂe)";"TRAM";"4"
